Area,Condo,Consideration Amount,Distance (KM),PIN,Registration Date,Year Built,Property Code,Roll Number,Street View URL,TerraNet Property Type,ID,Area In Acres,LRO Number,Use Acres,Sale Address
529,N,1300000,7198.0,103780043,2023/12/22 00:00,,,,,,40,0.0,80,False,"191 PARKVIEW HILL CRES, TORONTO, M4B1S1"
535,N,0,9518.0,102020017,2023/12/22 00:00,,,,,,17,0.0,80,False,"663 SHEPPARD AVE W, DOWNSVIEW, M3H2S4"
563,N,0,9037.0,102810619,2023/12/21 00:00,,,,,,163,0.0,80,False,"14 ALLADIN AVE, TORONTO, M6L1S5"
563,N,1200000,9037.0,102810619,2023/12/22 00:00,,,,,,33,0.0,80,False,"14 ALLADIN AVE, TORONTO, M6L1S5"
582,N,0,4252.0,211640061,2023/12/21 00:00,,,,,,160,0.0,80,False,"645 BRIAR HILL AVE, TORONTO, M5N1N4"
595,Y,900000,5978.0,122940027,2023/12/22 00:00,,,,,,68,0.0,80,False,"502 - 1 ST JOHNS RD, TORONTO, M6P1T7"
623,N,1210000,9883.0,102680011,2023/12/22 00:00,,,,,,30,0.0,80,False,"30 LETCHWORTH CRES, TORONTO, M3M1Y8"
636,N,1450000,8721.0,104440064,2023/12/22 00:00,,,,,,47,0.0,80,False,"19 MIDBURN AVE, EAST YORK, M4C2C8"
665,N,2000000,7861.0,210040570,2023/12/22 00:00,,,,,,64,0.0,80,False,"183 KENILWORTH AVE, TORONTO, M4L3S7"
665,N,2500000,8152.0,101210091,2023/12/21 00:00,,,,,,151,0.0,80,False,"30 CARAVAN DR, TORONTO, M3B1N2"
933,N,2,5703.0,213660082,2023/12/21 00:00,,,,,,83,0.0,80,False,"172 HIGH PARK AVE, TORONTO, M6P2S4"
939,N,0,5387.0,102240193,2023/12/21 00:00,,,,,,164,0.0,80,False,"27 FRASERWOOD ROAD, TORONTO"
1035,Y,428025,3157.0,764890076,2023/12/21 00:00,,,,,,118,0.0,80,False,"76 - 224 KING ST W, TORONTO, M5H0A6"
1035,Y,732500,3157.0,764890318,2023/12/21 00:00,,,,,,119,0.0,80,False,"2601 - 224 KING ST W, TORONTO, M5H0A6"
1056,N,0,977.0,212200168,2023/12/22 00:00,,,,,,55,0.0,80,False,"63 CLARENDON AVE, TORONTO, M4V1J2"
1066,Y,0,4962.0,763420139,2023/12/21 00:00,,,,,,89,0.0,80,False,"10 - 1638 BLOOR ST W, TORONTO, M6P0A6"
1082,Y,630000,870.0,121490153,2023/12/21 00:00,,,,,,186,0.0,80,False,"13 - 102 BLOOR ST W, TORONTO, M5S1M8"
1151,Y,1075000,3685.0,762250100,2023/12/21 00:00,,,,,,132,0.0,80,False,"904 - 25 STAFFORD ST, TORONTO, M5V0G3"
1268,N,0,1917.0,211840079,2023/12/22 00:00,,,,,,44,0.0,80,False,"235 WARREN RD, TORONTO, M4V2S6"
1272,N,0,1897.0,211840080,2023/12/22 00:00,,,,,,43,0.0,80,False,"235 WARREN RD, TORONTO, M4V2S6"
1338,Y,665000,2859.0,116150011,2023/12/21 00:00,,,,,,91,0.0,80,False,"304 - 192 JARVIS ST, TORONTO, M5B2J9"
1445,Y,677000,3166.0,762670170,2023/12/21 00:00,,,,,,113,0.0,80,False,"1202 - 325 BAY ST, TORONTO, M5H4G3"
1451,Y,500000,2882.0,768350199,2023/12/21 00:00,,,,,,112,0.0,80,False,"7 - 330 RICHMOND STREET WEST, TORONTO"
1607,N,0,2813.0,211790237,2023/12/21 00:00,,,,,,171,0.0,80,False,"77 HILLHOLM RD, TORONTO, M5P1M4"
1656,Y,604500,2876.0,768290083,2023/12/22 00:00,,,,,,74,0.0,80,False,"10 - 60 SHUTER STREET, TORONTO"
1674,N,550000,9735.0,064700128,2023/12/21 00:00,,,,,,176,0.0,80,False,"160 FALLINGBROOK RD, SCARBOROUGH, M1N0A1"
1702,Y,968888,1585.0,116010080,2023/12/21 00:00,,,,,,184,0.0,80,False,"1204 - 71 CHARLES ST E, TORONTO, M4Y2T3"
1955,N,0,2435.0,211790286,2023/12/22 00:00,,,,,,48,0.0,80,False,"12 OLD FOREST HILL RD, TORONTO, M5P2P7"
1981,Y,1400000,3279.0,766030191,2023/12/21 00:00,,,,,,114,0.0,80,False,"2508 - 88 BLUE JAYS WAY, TORONTO"
1981,Y,1699000,3279.0,766030349,2023/12/21 00:00,,,,,,115,0.0,80,False,"LPH5 - 88 BLUE JAYS WAY, TORONTO"
1983,Y,1400000,3265.0,765530154,2023/12/21 00:00,,,,,,123,0.0,80,False,"601 - 111 BATHURST ST, TORONTO, M5V0M9"
2020,Y,679000,4447.0,123120072,2023/12/21 00:00,,,,,,162,0.0,80,False,"506 - 1750 BAYVIEW AVE, TORONTO, M4G4H6"
2123,Y,673000,3752.0,769500247,2023/12/22 00:00,,,,,,41,0.0,80,False,"10 - 39 ROEHAMPTON AVENUE, TORONTO"
2262,Y,929000,7598.0,127770131,2023/12/21 00:00,,,,,,198,0.0,80,False,"519 - 1863 QUEEN ST E, TORONTO, M4L3Y6"
2376,Y,635000,3557.0,122950069,2023/12/21 00:00,,,,,,93,0.0,80,False,"514 - 39 JARVIS ST, TORONTO, M5E1Z5"
2690,Y,735000,2739.0,124620095,2023/12/21 00:00,,,,,,170,0.0,80,False,"903 - 253 MERTON ST, TORONTO, M4S3H2"
2818,Y,671500,2921.0,764590088,2023/12/21 00:00,,,,,,173,0.0,80,False,"515 - 23 GLEBE RD W, TORONTO, M5P0A1"
2965,Y,800000,2404.0,769200406,2023/12/21 00:00,,,,,,92,0.0,80,False,"4 - 20 EDWARD STREET, TORONTO"
2998,Y,594584,4536.0,770050048,2023/12/20 00:00,,,,,,199,0.0,80,False,"270 DUFFERIN STREET, TORONTO"
2998,Y,594584,4536.0,770050484,2023/12/20 00:00,,,,,,200,0.0,80,False,TORONTO
2998,Y,596297,4536.0,770050143,2023/12/21 00:00,,,,,,133,0.0,80,False,"270 DUFFERIN ST W, TORONTO"
2998,Y,600142,4536.0,770050260,2023/12/21 00:00,,,,,,134,0.0,80,False,"270 DUFFERIN STREET, TORONTO"
2998,Y,600777,4536.0,770050288,2023/12/21 00:00,,,,,,135,0.0,80,False,"270 DUFFERIN ST, TORONTO"
2998,Y,619860,4536.0,770050312,2023/12/21 00:00,,,,,,136,0.0,80,False,"270 DUFFERIN STREET, TORONTO"
3093,Y,557735,3570.0,770020094,2023/12/21 00:00,,,,,,165,0.0,80,False,"2020 BATHURST STREET, TORONTO"
3093,Y,557735,3570.0,770020534,2023/12/21 00:00,,,,,,166,0.0,80,False,"2020 BATHURST STREET, TORONTO"
3093,Y,557735,3570.0,770020626,2023/12/21 00:00,,,,,,167,0.0,80,False,"2020 BATHURST STREET, TORONTO"
3106,Y,0,2260.0,116190031,2023/12/22 00:00,,,,,,71,0.0,80,False,"405 - 77 CARLTON ST, TORONTO, M5B2J7"
3116,Y,635000,9790.0,129530099,2023/12/22 00:00,,,,,,16,0.0,80,False,"605 - 920 SHEPPARD AVE W, NORTH YORK, M3H0A2"
3305,Y,550000,4999.0,129560154,2023/12/21 00:00,,,,,,81,0.0,80,False,"323 - 233 CARLAW AVE, TORONTO, M4M3N6"
3334,Y,0,3669.0,130350444,2023/12/21 00:00,,,,,,117,0.0,80,False,"3108 - 1 SCOTT ST, TORONTO, M5E1A1"
3338,Y,2,3822.0,765590149,2023/12/22 00:00,,,,,,31,0.0,80,False,"19 - 30 ROEHAMPTON AVENUE, TORONTO"
3365,Y,402851,3014.0,770080492,2023/12/21 00:00,,,,,,95,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,402851,3014.0,770081168,2023/12/21 00:00,,,,,,96,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,402851,3014.0,770081169,2023/12/21 00:00,,,,,,97,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,435204,3014.0,770080495,2023/12/21 00:00,,,,,,98,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,506216,3014.0,770080319,2023/12/21 00:00,,,,,,99,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,518170,3014.0,770080488,2023/12/21 00:00,,,,,,100,0.0,80,False,"108 PETER STREET, TORONTO"
3365,Y,545829,3014.0,770080494,2023/12/21 00:00,,,,,,101,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,559363,3014.0,770080491,2023/12/21 00:00,,,,,,102,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,561563,3014.0,770080490,2023/12/21 00:00,,,,,,103,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,562468,3014.0,770080425,2023/12/21 00:00,,,,,,104,0.0,80,False,"108 PETER STREET, TORONTO"
3365,Y,570328,3014.0,770080485,2023/12/22 00:00,,,,,,4,0.0,80,False,"108 PETER STREET, TORONTO"
3365,Y,570328,3014.0,770081184,2023/12/22 00:00,,,,,,5,0.0,80,False,"108 PETER STREET, TORONTO"
3365,Y,595802,3014.0,770080487,2023/12/21 00:00,,,,,,105,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,595802,3014.0,770080967,2023/12/21 00:00,,,,,,106,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,666038,3014.0,770080489,2023/12/21 00:00,,,,,,107,0.0,80,False,"108 PETER STREET, TORONTO"
3365,Y,671678,3014.0,770080493,2023/12/21 00:00,,,,,,108,0.0,80,False,"108 PETER ST, TORONTO"
3365,Y,804042,3014.0,770080486,2023/12/21 00:00,,,,,,109,0.0,80,False,"108 PETER STREET, TORONTO"
3365,Y,804042,3014.0,770080704,2023/12/21 00:00,,,,,,110,0.0,80,False,TORONTO
3365,Y,804042,3014.0,770080763,2023/12/21 00:00,,,,,,111,0.0,80,False,TORONTO
3405,N,429000,4190.0,211650186,2023/12/22 00:00,,,,,,37,0.0,80,False,"6 - 2550 BATHURST ST, TORONTO, M6B2Z2"
3508,N,2,3098.0,214120328,2023/12/22 00:00,,,,,,6,0.0,80,False,"299 ADELAIDE STREET WEST, TORONTO"
3816,Y,1140000,1101.0,765030279,2023/12/21 00:00,,,,,,191,0.0,80,False,"3506 - 825 CHURCH ST, TORONTO, M4W3Z4"
3885,Y,725000,1518.0,767510057,2023/12/21 00:00,,,,,,192,0.0,80,False,"14 - 955 BAY STREET, TORONTO"
3885,Y,925000,1518.0,767510577,2023/12/22 00:00,,,,,,67,0.0,80,False,"8 - 955 BAY STREET, TORONTO"
3892,Y,500000,682.0,765860311,2023/12/21 00:00,,,,,,188,0.0,80,False,"7 - 155 YORKVILLE AVENUE, TORONTO"
3944,Y,475000,9724.0,114450041,2023/12/21 00:00,,,,,,158,0.0,80,False,"103 - 1445 WILSON AVE, DOWNSVIEW, M3M1J5"
4132,Y,930000,3571.0,129760108,2023/12/22 00:00,,,,,,8,0.0,80,False,"612 - 60 BATHURST ST, TORONTO, M5V2P4"
4178,Y,515000,8450.0,766780082,2023/12/21 00:00,,,,,,142,0.0,80,False,"5 - 2175 LAKE SHORE BLVD W, TORONTO, M8V1A1"
4179,Y,600000,3451.0,763380199,2023/12/21 00:00,,,,,,122,0.0,80,False,"1014 - 300 FRONT ST W, TORONTO, M5V0E9"
4244,Y,700000,3314.0,764790089,2023/12/22 00:00,,,,,,36,0.0,80,False,"612 - 60 BERWICK AVE, TORONTO, M5P0A3"
4300,Y,0,1464.0,118760502,2023/12/22 00:00,,,,,,69,0.0,80,False,"3009 - 1001 BAY ST, TORONTO, M5S3A6"
4376,Y,333390,7462.0,770100095,2023/12/22 00:00,,,,,,18,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,343847,7462.0,770100236,2023/12/22 00:00,,,,,,19,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,343847,7462.0,770100827,2023/12/22 00:00,,,,,,20,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,449922,7462.0,770100164,2023/12/21 00:00,,,,,,152,0.0,80,False,"8 TIPPET ROAD, TORONTO"
4376,Y,449922,7462.0,770100773,2023/12/21 00:00,,,,,,153,0.0,80,False,"8 TIPPET ROAD, TORONTO"
4376,Y,465480,7462.0,770100189,2023/12/21 00:00,,,,,,154,0.0,80,False,"8 TIPPET ROAD, TORONTO"
4376,Y,465480,7462.0,770100455,2023/12/21 00:00,,,,,,155,0.0,80,False,"8 TIPPET ROAD, TORONTO"
4376,Y,491143,7462.0,770100056,2023/12/22 00:00,,,,,,21,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,491143,7462.0,770100679,2023/12/22 00:00,,,,,,22,0.0,80,False,TORONTO
4376,Y,505314,7462.0,770100075,2023/12/22 00:00,,,,,,23,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,505314,7462.0,770100412,2023/12/22 00:00,,,,,,24,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,505314,7462.0,770100651,2023/12/22 00:00,,,,,,25,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,505314,7462.0,770100799,2023/12/22 00:00,,,,,,26,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,603728,7462.0,770100194,2023/12/22 00:00,,,,,,27,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,603728,7462.0,770100198,2023/12/22 00:00,,,,,,28,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4376,Y,603728,7462.0,770100624,2023/12/22 00:00,,,,,,29,0.0,80,False,"8 TIPPETT ROAD, TORONTO"
4704,Y,560000,7582.0,118190116,2023/12/21 00:00,,,,,,148,0.0,80,False,"1407 - 271 RIDLEY BLVD, TORONTO, M5M4N1"
4850,Y,1475000,1618.0,116140149,2023/12/21 00:00,,,,,,189,0.0,80,False,"1904 - 278 BLOOR ST E, TORONTO, M4W3M4"
4963,Y,750000,4129.0,768720088,2023/12/22 00:00,,,,,,11,0.0,80,False,"40 -, TORONTO"
5082,Y,0,4054.0,765830438,2023/12/21 00:00,,,,,,120,0.0,80,False,"2 - 68 ABELL STREET, TORONTO"
5082,Y,522500,4054.0,765830438,2023/12/22 00:00,,,,,,9,0.0,80,False,"2 - 68 ABELL STREET, TORONTO"
5310,Y,482500,4062.0,764480256,2023/12/21 00:00,,,,,,130,0.0,80,False,"520 - 36 LISGAR ST, TORONTO, M6J0C7"
5581,Y,560000,9947.0,127520128,2023/12/21 00:00,,,,,,172,0.0,80,False,"1001 - 2088 LAWRENCE AVE W, NORTH YORK, M9N3Z9"
5837,Y,100,2096.0,761230288,2023/12/22 00:00,,,,,,70,0.0,80,False,"2212 - 500 SHERBOURNE ST, TORONTO, M4X1L1"
6261,Y,0,1709.0,122430165,2023/12/21 00:00,,,,,,80,0.0,80,False,"PH04 - 887 BAY ST, TORONTO, M5S3K4"
6277,Y,1030000,1434.0,766620519,2023/12/21 00:00,,,,,,185,0.0,80,False,"7 - 50 CHARLES STREET EAST, TORONTO"
6653,Y,0,4125.0,764330452,2023/12/22 00:00,,,,,,12,0.0,80,False,"1630 - 38 GRAND MAGAZINE ST, TORONTO, M5V0B1"
6727,Y,613000,990.0,769310149,2023/12/21 00:00,,,,,,179,0.0,80,False,"27 - 280 HOWLAND AVENUE, TORONTO"
6774,Y,1150000,3567.0,130050133,2023/12/22 00:00,,,,,,2,0.0,80,False,"5 - 205 FREDERICK ST, TORONTO, M5A4V3"
7028,Y,0,3900.0,765101221,2023/12/21 00:00,,,,,,131,0.0,80,False,"5702 - 14 YORK ST, TORONTO, M5J0B1"
7436,Y,669000,4338.0,127890156,2023/12/21 00:00,,,,,,137,0.0,80,False,"516 - 637 LAKE SHORE BLVD W, TORONTO, M5V3J6"
7475,N,0,9225.0,076170225,2023/12/22 00:00,,,,,,13,0.0,80,False,ETOBICOKE
7558,Y,470000,4155.0,763430645,2023/12/21 00:00,,,,,,90,0.0,80,False,"531 - 47 LOWER RIVER ST, TORONTO, M5A0G1"
7590,Y,540000,3734.0,118500453,2023/12/21 00:00,,,,,,116,0.0,80,False,"2521 - 25 THE ESPLANADE, TORONTO, M5E1W5"
7773,Y,988888,4322.0,765490060,2023/12/22 00:00,,,,,,3,0.0,80,False,"60 -, TORONTO"
7987,Y,422500,2291.0,110750035,2023/12/22 00:00,,,,,,65,0.0,80,False,"307 - 40 HOMEWOOD AVE, TORONTO, M4Y2K2"
7987,Y,545000,2291.0,110750170,2023/12/22 00:00,,,,,,66,0.0,80,False,"1115 - 40 HOMEWOOD AVE, TORONTO, M4Y2K2"
8059,Y,675000,7756.0,127950105,2023/12/21 00:00,,,,,,147,0.0,80,False,"809 - 3840 BATHURST ST, NORTH YORK, M3H6C6"
8246,Y,540000,7512.0,768530428,2023/12/21 00:00,,,,,,145,0.0,80,False,"19 - 31 TIPPETT ROAD, NORTH YORK/TORONTO"
8246,Y,880000,7512.0,768530016,2023/12/21 00:00,,,,,,146,0.0,80,False,"1 - 31 TIPPET ROAD, NORTH YORK/TORONTO"
8438,Y,880000,7147.0,118060152,2023/12/21 00:00,,,,,,138,0.0,80,False,"939 - 22 SOUTHPORT ST, TORONTO, M6S4Y9"
8669,Y,550000,3875.0,761300374,2023/12/21 00:00,,,,,,121,0.0,80,False,"2606 - 55 BREMNER BLVD, TORONTO, M5J0A6"
8716,Y,649027,5000.0,770010073,2023/12/22 00:00,,,,,,56,0.0,80,False,"73 - 40 ED CLARK GARDENS BLVD, TORONTO"
8716,Y,650873,5000.0,770010069,2023/12/22 00:00,,,,,,57,0.0,80,False,"69 - 40 ED CLARK GARDENS BLVD, TORONTO"
8716,Y,650973,5000.0,770010071,2023/12/22 00:00,,,,,,58,0.0,80,False,"71 -, TORONTO"
8716,Y,742160,5000.0,770010076,2023/12/22 00:00,,,,,,59,0.0,80,False,"76 -, TORONTO"
10319,Y,718000,7396.0,769400198,2023/12/22 00:00,,,,,,39,0.0,80,False,"2 - 1461 LAWRENCE AVENUE WEST, TORONTO"
10374,Y,751000,9557.0,127680259,2023/12/21 00:00,,,,,,144,0.0,80,False,"2506 - 35 BALES AVE, NORTH YORK, M2N7L7"
10805,Y,2,8560.0,113940025,2023/12/22 00:00,,,,,,61,0.0,80,False,"303 - 270 SCARLETT RD, YORK, M6N4X7"
10805,Y,750000,8560.0,113940020,2023/12/21 00:00,,,,,,181,0.0,80,False,"211 - 270 SCARLETT RD, YORK, M6N4X7"
10946,Y,525000,8506.0,112550018,2023/12/21 00:00,,,,,,177,0.0,80,False,"206 - 75 EMMETT AVE, TORONTO, M6M5A7"
12161,Y,2,3880.0,129550433,2023/12/21 00:00,,,,,,124,0.0,80,False,"2507 - 15 FORT YORK BLVD, TORONTO, M5V3Y4"
13993,Y,860000,8728.0,764710377,2023/12/21 00:00,,,,,,141,0.0,80,False,"4301 - 2200 LAKE SHORE BLVD W, ETOBICOKE, M8V1A4"
14078,Y,0,7435.0,116200182,2023/12/21 00:00,,,,,,150,0.0,80,False,"601 - 3900 YONGE ST, NORTH YORK, M4N3N6"
14857,Y,618000,1626.0,768450243,2023/12/21 00:00,,,,,,82,0.0,80,False,"1 - 11 WELLESLEY STREET, TORONTO"
15593,Y,780000,5861.0,114350127,2023/12/21 00:00,,,,,,88,0.0,80,False,"404 - 80 QUEBEC AVE, TORONTO, M6P4B7"
16604,Y,701330,4346.0,770090055,2023/12/21 00:00,,,,,,85,0.0,80,False,"665 QUEEN ST EAST, TORONTO"
16604,Y,701330,4346.0,770090361,2023/12/21 00:00,,,,,,86,0.0,80,False,"665 QUEEN ST EAST, TORONTO"
16604,Y,701330,4346.0,770090498,2023/12/21 00:00,,,,,,87,0.0,80,False,"665 QUEEN ST EAST, TORONTO"
16747,Y,1175000,9020.0,119120184,2023/12/21 00:00,,,,,,78,0.0,80,False,"904 - 2267 LAKESHORE BLVD W, ETOBICOKE, M8V3X2"
16990,Y,630000,9116.0,769570208,2023/12/22 00:00,,,,,,14,0.0,80,False,"22 - 251 MANITOBA STREET, TORONTO"
17750,Y,730000,9978.0,762320217,2023/12/21 00:00,,,,,,143,0.0,80,False,"711 - 1 DE BOERS DR, NORTH YORK, M3J0G6"
18038,Y,645000,3785.0,761570280,2023/12/21 00:00,,,,,,125,0.0,80,False,"829 - 10 CAPREOL CRT, TORONTO, M5V4B3"
18038,Y,720000,3785.0,763010564,2023/12/21 00:00,,,,,,126,0.0,80,False,"1902 - 151 DAN LECKIE WAY, TORONTO, M5V4B2"
18097,Y,525000,8622.0,764680319,2023/12/21 00:00,,,,,,159,0.0,80,False,"809 - 15 JAMES FINLAY WAY, NORTH YORK, M3M0B3"
19156,Y,1300000,7530.0,120530391,2023/12/21 00:00,,,,,,77,0.0,80,False,"3602 - 1 PALACE PIER CRT, ETOBICOKE, M8V3W9"
20057,Y,0,4112.0,128020034,2023/12/22 00:00,,,,,,76,0.0,80,False,"34 - 1369 BLOOR ST W, TORONTO, M6P4J4"
20485,Y,762500,3749.0,130090177,2023/12/21 00:00,,,,,,127,0.0,80,False,"923 - 4K SPADINA AVE, TORONTO, M5V3Y9"
22332,Y,655000,9196.0,123210018,2023/12/21 00:00,,,,,,156,0.0,80,False,"207 - 1700 EGLINTON AVE E, TORONTO, M4A2X4"
25872,Y,460000,6747.0,110510344,2023/12/22 00:00,,,,,,32,0.0,80,False,"1702 - 715 DON MILLS RD, DON MILLS, M3C1S5"
26609,Y,0,4257.0,768500322,2023/12/21 00:00,,,,,,128,0.0,80,False,"6 - 15 QUEENS QUAY EAST, TORONTO"
26609,Y,690000,4257.0,764910314,2023/12/21 00:00,,,,,,129,0.0,80,False,"930 - 39 QUEENS QUAY E, TORONTO, M5E0A5"
